km_driven,price_inr
63369,1455400
122026,1070100
78158,1309600
290929,432700
50580,1498300
54123,1475700
119629,1083400
299254,558900
109248,1114600
224949,589900
120574,1032900
8407,1880500
88707,1235000
86516,1219900
117886,1128700
53625,1474200
204191,808500
143685,1015600
27780,1684700
203461,669800
46313,1452600
194600,730400
105814,1145600
124484,1036700
156722,1001500
57953,1445400
204295,716200
196277,824900
90277,1216600
144973,979400
42435,1548200
133351,988700
90669,1199200
297002,505000
120141,1035000
34327,1549300
125087,1087800
215325,612800
145373,1053800
169981,894700
116477,1064300
245570,568400
79905,1301200
299318,528700
287579,509000
214400,763100
194790,793100
272138,717000
263744,578900
62487,1430500
85132,1210000
226333,598300
38306,1554500
250392,642400
282408,524300
11019,1906600
65058,1378200
144893,898400
183349,840800
242881,651400
6701,1982100
143091,933700
267451,561800
60789,1374800
161471,916400
109286,1080900
85131,1250800
283058,544700
5299,1850700
63650,1380100
195306,826500
166225,799700
130541,1117400
46291,1578300
49907,1503700
284291,429600
70934,1403000
293255,544000
91574,1222700
226846,761500
116043,1170400
110461,1088200
168429,796100
200779,784200
234690,682900
134973,968100
122806,1069300
295414,502800
125646,1040500
35866,1621600
125031,1060200
178239,823900
42149,1534000
259496,572200
117321,1010300
252815,572300
132400,1032200
104829,1066800
54453,1523700
227077,690200
220535,599600
56599,1481000
36778,1580100
62288,1449600
135367,1020800
78495,1371700
226187,684900
44523,1606500
237328,666700
56332,1374300
31522,1624900
12737,1776100
53896,1571200
92194,1185200
218078,651400
215260,697500
35741,1627500
209693,714300
144042,1037100
154552,873700
226777,634000
296382,420400
260155,597800
35662,1661200
289266,551100
31289,1679000
254974,488800
87540,1255000
34821,1653200
102425,1164000
40924,1521900
128314,990300
216694,766700
134087,1076500
25836,1671200
279088,496300
170868,877600
169722,837600
130140,1020900
162284,907000
244717,578500
43033,1643600
9883,1680100
57418,1505000
43409,1506600
74445,1326400
187981,858800
198738,676700
154415,965200
163606,954600
282317,617100
161960,886500
59309,1469600
65517,1390800
61117,1430400
152721,891500
115430,1091100
143403,928400
269979,443400
31633,1667700
53390,1425500
28114,1619500
6858,1869400
142340,989200
89715,1240000
229231,590500
299076,511500
83147,1285300
291046,554100
294682,510900
82643,1274100
196182,761500
25916,1736300
135825,976000
58893,1408900
218058,736900
86030,1298900
90197,1224000
97826,1203500
179160,807700
220856,709900
135111,905200
144883,996800
205562,789900
25302,1736300
246331,580500
188321,752000
124325,1136000
121876,1097000
177103,827800
151068,1013600
151341,828200
189101,747700
286131,478000
178617,840300
141951,958800
98620,1065400
25057,1646600
61834,1388900
169457,825900
233796,594100
206953,683100
104656,1154100
5886,1970600
277587,590600
108303,1108200
195956,645300
178119,870200
169582,838300
162455,857900
270878,531000
215973,739900
160008,859200
203781,719300
96240,1172900
292276,476800
5212,1887200
173951,867200
248787,531800
273002,571800
253085,625600
93967,1095900
49457,1502000
180735,881700
53961,1518500
167749,783000
122776,1069800
29229,1653700
133368,1076400
43182,1559100
243769,554100
106940,1179800
206315,684700
7907,1874000
60882,1439700
276559,502700
248557,638400
68626,1391200
244317,650600
283466,564200
298037,392700
237035,563300
269649,454800
238787,676100
88444,1249000
140891,916200
134624,1023600
278311,499500
259068,548800
45623,1518400
154803,916100
288195,558000
47245,1557900
85113,1299500
117172,1135800
289484,530500
249278,571300
225276,682100
209198,767800
15240,1766600
204429,609800
161559,900900
209465,787100
224687,568000
287182,514100
120625,1008100
260972,582500
20217,1811300
208873,675200
216978,753800
91530,1293000
285034,424900
19138,1824300
19209,1730900
49012,1504100
247062,585100
100278,1227600
115970,1110200
243393,576300
203771,805200
150886,929600
137262,895200
47942,1447400
32307,1669700
188480,784800
26106,1725600
21268,1781100
15684,1789400
84892,1277300
64973,1461100
119276,1040300
198407,756200
92969,1122600
65048,1324600
90860,1259900
18462,1769300
168555,758600
201768,686700
212961,732400
132323,1001000
58425,1437300
68467,1340400
26532,1673000
199285,788200
41153,1536500
225231,663300
262006,670200
246035,687200
85211,1196400
146600,979300
287157,523700
145716,895900
173980,890900
50436,1434500
151238,954400
248641,576900
203699,700300
175401,879300
100336,1134200
140451,978600
183435,787200
149844,999100
296394,618200
49885,1522100
131540,1005900
130998,962500
254609,552100
14040,1768800
53786,1471100
132561,1060800
165540,842900
295179,458100
283355,429200
293562,642600
178429,785200
165758,910800
136807,1001500
170438,927600
67681,1380400
102071,1048300
105422,1164200
280060,586100
153372,1011600
160318,877100
124266,1025300
285040,552000
71365,1340300
295119,633000
158163,889200
262361,544500
58785,1494000
251099,549300
255984,554400
31936,1669000
137371,1042300
39258,1576700
215086,629400
33106,1651000
84548,1313400
164297,924400
49659,1541100
223195,669900
123325,1065100
237113,583900
160898,983200
165107,752400
36578,1555600
113940,1053600
115637,1094900
130758,1041000
96128,1177600
219180,673300
241193,600400
22112,1689600
126360,1032400
243043,656100
42318,1529400
108714,1029100
227895,684300
83113,1307900
144267,966500
91991,1212700
166277,787500
156315,852900
235242,691400
216030,745900
147735,883800
47174,1534800
25898,1771300
136264,942200
18560,1881000
15876,1867400
146301,873200
96850,1161900
251677,541000
150834,922200
100152,1235400
262805,567000
52837,1441800
173326,846800
59840,1468900
264768,528600
156109,879800
293409,459500
24239,1681500
174488,844900
65776,1449000
274796,531600
5603,1860600
221660,623100
33418,1663100
266353,603600
236756,635200
292949,469900
73688,1393600
259128,553100
68662,1448500
130460,1034700
88035,1250600
218904,691200
53868,1499600
64486,1502800
246931,674800
85725,1244400
266292,597900
148353,922400
222836,743000
132785,890100
244487,566100
271464,532800
76569,1352700
222549,642500
183192,855100
6344,1863800
153289,903800
261712,476300
82906,1231300
179294,833800
294363,504700
173704,787300
103908,1197200
205787,719300
127453,1068400
171816,802600
252975,566100
207416,630900
84746,1260400
268345,555700
179060,885200
235847,561200
57277,1404900
80578,1291500
219946,771600
44231,1461900
251148,603700
213395,661600
47108,1593900
284771,441500
204234,796100
260825,552700
288648,530500
155669,912200
124268,1051400
56612,1410900
57694,1384200
